index,type,start_ms,duration_ms,units
283,MARK,182.767062,0.387937,1
284,SPACE,183.155000,0.412062,1
285,MARK,183.567062,0.388937,1
286,SPACE,183.956000,1.342750,3
287,MARK,185.298750,1.933750,5
288,SPACE,187.232500,0.414125,1
289,MARK,187.646625,0.517000,1
290,SPACE,188.163625,0.412875,1
291,MARK,188.576500,0.386625,1
292,SPACE,188.963125,0.826812,2
293,MARK,189.789938,0.775312,2
294,SPACE,190.565250,0.411625,1
295,MARK,190.976875,0.905000,2
296,SPACE,191.881875,0.413312,1
297,MARK,192.295187,0.386813,1
298,SPACE,192.682000,0.413438,1
299,MARK,193.095438,0.387812,1
300,SPACE,193.483250,0.928125,2
301,MARK,194.411375,1.292938,3
302,SPACE,195.704313,0.412938,1
303,MARK,196.117250,0.516437,1
304,SPACE,196.633687,0.414875,1
305,MARK,197.048563,0.386875,1
306,SPACE,197.435438,0.412125,1
307,MARK,197.847562,0.388750,1
308,SPACE,198.236313,1.342875,3
309,MARK,199.579188,1.934625,5
310,SPACE,201.513813,0.413250,1
311,MARK,201.927063,0.388125,1
312,SPACE,202.315187,0.412500,1
313,MARK,202.727688,0.515938,1
314,SPACE,203.243625,0.827875,2
315,MARK,204.071500,0.774250,2
316,SPACE,204.845750,0.411562,1
317,MARK,205.257313,0.776000,2
318,SPACE,206.033313,0.413062,1
319,MARK,206.446375,0.516062,1
320,SPACE,206.962438,0.414437,1
321,MARK,207.376875,0.386813,1
322,SPACE,207.763687,0.928250,2
323,MARK,208.691937,1.293813,3
324,SPACE,209.985750,0.412000,1
325,MARK,210.397750,0.387375,1
326,SPACE,210.785125,0.414875,1
327,MARK,211.200000,0.515938,1
328,SPACE,211.715937,0.414187,1
329,MARK,212.130125,0.386687,1
330,SPACE,212.516813,1.342812,3
331,MARK,213.859625,1.934563,5
332,SPACE,215.794188,0.413312,1
333,MARK,216.207500,0.388937,1
334,SPACE,216.596437,0.411687,1
335,MARK,217.008125,0.387437,1
336,SPACE,217.395563,0.827250,2
337,MARK,218.222813,0.903375,2
338,SPACE,219.126188,0.411687,1
339,MARK,219.537875,0.776875,2
340,SPACE,220.314750,0.412062,1
341,MARK,220.726812,0.386938,1
342,SPACE,221.113750,0.414563,1
343,MARK,221.528312,0.515938,1
344,SPACE,222.044250,0.930437,2
345,MARK,222.974687,1.291438,3
346,SPACE,224.266125,0.412062,1
347,MARK,224.678187,0.388313,1
348,SPACE,225.066500,0.413813,1
349,MARK,225.480312,0.387062,1
350,SPACE,225.867375,0.412938,1
351,MARK,226.280313,0.517063,1
352,SPACE,226.797375,1.342563,3
353,MARK,228.139938,1.934687,5
354,SPACE,230.074625,0.413312,1
355,MARK,230.487937,0.388937,1
